,sentence,label
0,擦玻璃很好、就是太小了,1
1,店家太不负责任了，衣服质量太差劲了，和图片上的不一样,0
2,送国际友人挺好的，不错不错！,1
3,"很好,装好一定很漂亮",1
4,东西给你退回去了，你要黑我钱！！！,0
5,送货很快，书是正品，买书一直京东是首选！,1
6,口感相当的好 都想买第二次了,1
7,硅胶味道太重，样子与图片差距太大,0
8,很伤心，买了放到三星n4尽然不能用，客服各种推,0
9,质量不错，大小合适，应当是正品！但是我买的是黑灰，发来的却是纯黑，懒得换了，给个差评，希望以后改进！,0
10,有没有蓝屏死机？,0
11,似乎没有75%这么多的可可脂含量。别的不说，口感太甜了，不像黑巧克力。还有，发票呢....比超市便宜，但是买到后才发现只是包装一样，口感不对。,0
12,非常垃圾的一本书，毫无价值，适合新股民入入门吧,0
13,狗屁店，这鞋质量一点也不敢恭维，太次了，买下穿了2天皮就掉了，还是内侧皮，两只鞋都掉皮，内侧，找客服，客服不理我，后天又说不是质量问题，无语了，就会坑消费者。所以大家买鞋一定要看看,0
14,卖家发货号码不准。有点生气,0
15,衣服漂亮，穿着舒服，尺寸也很标准，长度也正好，卖家服务态度不错，物流也相当给力，下次还会来购买,1
16,一般吧，冰糖太多了,0
17,很烂！妈的！骗人！一个多月没收到,0
18,现在对京东越来越失望了，收到衣服发现少了一条腰袋和口袋的毛毛，要是不给补回来，再也不上京东买东西了。,0
19,包装没有以前好了，而且体质不好，超频到4.4就不行了，估计这批货不行,0
20,香味好棒很喜欢，用起来有点清凉的样子夏天用很舒服。,1
21,一般般，盖子不好,0
22,这是本介绍了高电位治疗仪治疗哪些病和为什么能治这些病，但是没有介绍如何使用电位治疗仪，治疗方法，各个方法的特点，以及常用常见的电位治疗仪的特点。在介绍的治疗案例中也没有介绍使用的仪器和治疗的方法。,1
23,先看了作者的《燕子》，觉得文字很美，就找来了这本书。整体感觉很不错。,1
24,老板发货速度超级快啊。包装严实。收到款就装上试跑了。非常舒服。跑起来很轻松.机子很大气，上档次，质量好、一台机子解决全家亚健康问题。全家一起运动，真的超值\n,1
25,面料硬，不给退,0
26,非常实用的一个东西，正在使用中,1
27,刀片有点活动，颜色不对。送的赠品太烂，本来想拿到就甩了，但为了给网友提个醒就留下。这个东东不如不送还好点,0
28,物流很快，笔的质量一般,1
29,不厚，不全，不精美。\n\n简单的词组都查不到呢~\n\n有很大的期望，可惜了了。,0
30,宝贝收到了，摸着面料就很舒服，超级棒，现在等着买冬衣了，嘿嘿,1
31,宝贝收到了，很漂亮，跟实物一样，找了专业师傅看了，说是手表真的，机芯还好，就是高仿的，。。买的时候明明标注发票，为什么发来没有？？店主有必要解释下，把发票补给我们，让我们有保障。。,1
32,被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了被坑了,0
33,非常好   信得过         嗯嗯,1
34,虽然不值钱但是但是你们发货时还是把货物和包装盒固定好，收到坐脚的焊接点都掉了有啥用！,0
35,铃当位置磨损比较大，做工比较粗糙，整体比较地摊,0
36,实物和照片上有差距，质量一般。,0
37,寄过来的时候衣服有点开线，,0
38,千万千万别买，他们漏发了许多东西&hellip;&hellip;,0
39,布料挺好的，给商家赞一个！,1
40,没见过这么糊弄人的包装袋！这那是装茶的！一点密封都没有！就是随意一拧紧！我都怀疑他的重量！(╯3╰)太次了！,0
41,多次购买了，质量很好，就是价格要比别家高不少,1
42,物流慢的要死，商家还把订单填错，醉了！差评,0
43,感觉有点不值，就是很薄的一个塑料板,1
44,噢噢噢哦哦哦哦哦噢,1
45,不保温，用起也不方便,0
46,一般般，穿着还不错,0
47,京东购物比较失败的一次，价格比网上的同款要高了*，没玩两次就让儿子弄散架了，京东里面的旗舰店啊，朋友们留心吧,0
48,穿过几次了不掉色，很修身的。就是有点贵。,1
49,很好看很性感哦，质量还不错呢，穿着很漂亮，老公很喜欢哦，穿着别有一番滋味呢，卖家服务很好，发货很快，很愉快的一次购物,1
50,太短穿不上，有点失望,0
51,质量特别赞，很有欧美范，回头率超高。哈哈，大牌款。是真皮，美妈喜欢的都可以入手哦,1
52,镜片太厚，同样度数比原来的镜片翻了一倍厚，镜片折光厉害，戴上感觉镜片四周有光圈围绕，左右不对称，戴上没几分钟眼睛就特别疲劳，店家还说多适应适应就好了，这比第一次戴上眼镜的时候还难适应好不！！！！,0
53,马马虎虎，贵了,0
54,8开人美版的，开本大，清晰，看起来真不错！,1
55,米米的质量不错，口感夜不错！,1
56,坑人。。。。明显假货！！！,0
57,烤鸭很好吃 很正 物流给力 还会再来光顾,1
58,抱歉，还没来得急读，读完再评价,1
59,宝贝收到了，质量不错，音质很好孩子非常喜欢，操作也很便捷，好评！,1
60,一分钱一分货，也只能说就这样了,0
61,差差差差差！还有两洞，骗子,0
62,太差，质量不好,0
63,还不错！性价比高，个人觉得很便宜了，值得购买。,1
64,东西一到，打开包装看到里面的裤子，，好不犹豫马上甩掉，，很丑而且点都不好看   你们不信可以搞一下,0
65,敬告各位要在这家买电脑的童鞋，千万不要买！不要买！！不要买！！！不要买！！！！！我10月24日收到的货，11月20日就不能用了，拿去维修中心检测主板烧坏了！主板烧坏了！！主板烧坏了！！！我就是一学生，连个游戏都没打，主板就烧坏了，联系客服一直在推卸责任，让我找售后，气死我了！！！,0
66,时间不是很长镜面就掉下来了,0
67,不是正品，特干，不匀，不舒服，跟韩国买的一点都不一样！！不要买,0
68,收到衣服特别满意，没想到这么便宜可以买到一套这么好的衣服，以后认准这家了,1
69,拿到就是坏的一半的不亮了。。希望朋友们别再买这家的东西了，就一个字坑,1
70,要求开发票，没给开，备注时告诉卖家是男士赠品注意颜色还是没有注意。鞋看着像是真的，总体购物体验很难说满意。,0
71,没多少用，不过京东送得很快的,1
72,好好学习学习，慢慢积累,1
73,挺好，快递也蛮给力的，头一天下单，过了一天就送到了,1
74,好垃圾，*不值。,0
75,书不错，是正版。可是一个多月才发货，也不告知一下什么时候有货，服务太差了。,0
76,这是去污的吗？喷了反倒擦不掉脏东西了！！不是去污的就不要乱写！！！,0
77,拖把质量好，用料讲究，做工精致，结实耐用，比在超市买便宜多了，用着很方便，喜欢。,1
78,还不错，只是不知道左边的翻页键怎么用,1
79,用不了，不知道为什么。。,0
80,差评，发来的货和图片不是一回事，胡乱凑合来的。服务和物流也极差。有辱京东招牌。,0
81,衣服款式还行～颜色跟图片上的不一样～发给我的货颜色太兰了～没这图片颜色好～衣服兜也太小了～,0
82,带上挺好看的 高端 大气 上档次 实物与图片一致 可以放心购买,1
83,很好哦，和我想的一样，大小也合适，还会光顾,1
